Project Title,Future-facing,Meet needs within existing system,Improves data tools,Site medical staff wants it,Strengthens MOH partnerships
Shire TB investigation,0,4,3,3,2
Moria DM program evaluation,3,0,3,3,5
White paper about the ring,1,0,5,3,3
New EMR for Mordor,2,5,4,3,2
Replace old EMR in Moria,1,5,3,4,4
Fancy new UI for EMR,5,1,2,5,2
Easier EMR set-up,5,4,3,4,3
Capacity-building for Some Fancy Tool,4,3,1,0,3
New form for Fellbeast Flu,1,1,0,3,4
Decentralizing data analysis,2,1,4,2,4
Integrating EMR with Some Fancy Tool,4,4,4,3,3
Deploying Rings of Power to all sites,2,0,2,3,0
